2019-01-18 18:54:28 INFO  LOG:70 - InValid Status Code for Take Order0
2019-01-18 18:54:28 INFO  LOG:127 - TestCase_Take_Order_VerifyStatusCode_InvalidID FAILED
2019-01-18 18:54:28 INFO  LOG:118 - Starting test case :TestCase_Take_Order_VerifyStatusCode_ValidID
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:90 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:38 - Valid Status Code for Take Order 0
2019-01-18 18:54:28 INFO  LOG:127 - TestCase_Take_Order_VerifyStatusCode_ValidID FAILED
2019-01-18 18:54:28 INFO  LOG:129 - Starting test case :TestCase_Complete_Order_VerifyStatusCode_InvalidFlow
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:126 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:102 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:114 - InValid Status Code for Incorrect flow of Complete Order0
2019-01-18 18:54:28 INFO  LOG:138 - TestCase_Complete_Order_VerifyStatusCode_InvalidFlow FAILED
2019-01-18 18:54:28 INFO  LOG:129 - Starting test case :TestCase_Complete_Order_VerifyStatusCode_InvalidID
2019-01-18 18:54:28 ERROR LOG:39 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:90 - Exception occured : null
2019-01-18 18:54:28 ERROR LOG:102 - Exception occured : null
2019-01-18 18:54:28 INFO  LOG:78 - InValid Status Code for Complete Order0
2019-01-18 18:54:28 INFO  LOG:138 - TestCase_Complete_Order_VerifyStatusCode_InvalidID FAILED
